"Animals","Plants","Empty","Avg Energy","Avg  Lifetime","Avg Children"
"20","87","293","19","0","0"
"20","95","285","18","0","0"
"20","102","278","19","0","0"
"20","109","271","19","0","0"
"20","115","265","20","0","0"
"21","123","256","19","0","0"
"22","125","253","21","1","0"
"22","131","247","22","1","0"
"21","140","239","22","1","0"
"20","146","234","24","1","0"
"20","153","227","25","1","0"
"20","158","222","26","1","0"
"22","163","215","25","1","0"
"20","169","211","29","1","0"
"20","174","206","30","1","0"
"20","177","203","33","1","0"
"20","182","198","34","1","0"
"21","188","191","33","1","0"
"20","192","188","37","1","0"
"21","194","185","38","1","0"
"20","196","184","43","1","1"
"20","199","181","46","1","1"
"21","199","180","47","1","1"
"20","201","179","53","1","1"
"20","205","175","55","1","1"
"20","208","172","57","1","1"
"20","211","169","60","1","1"
"20","216","164","60","1","1"
"20","215","165","65","1","1"
"21","222","157","62","1","1"
"20","225","155","68","1","1"
"21","228","151","66","1","1"
"21","233","146","68","1","1"
"20","234","146","75","1","1"
"21","235","144","74","1","1"
"20","235","145","82","1","1"
"21","237","142","80","1","1"
"21","241","138","82","1","1"
"20","246","134","88","1","1"
"22","248","130","82","1","1"
"20","248","132","95","1","1"
"20","249","131","98","1","1"
"22","251","127","92","1","1"
"20","252","128","104","1","2"
"21","257","122","100","1","2"
"20","258","122","108","1","2"
"20","260","120","111","1","2"
"23","263","114","98","1","2"
"20","268","112","114","1","2"
"20","274","106","115","1","2"
"21","276","103","112","1","2"
"21","276","103","116","1","2"
"21","278","101","118","1","2"
"20","282","98","126","1","2"
"20","284","96","128","1","2"
"21","286","93","125","1","2"
"20","285","95","136","1","2"
"21","286","93","132","1","2"
"20","289","91","142","1","3"
"22","291","87","131","1","2"
"21","292","87","140","1","3"
"20","293","87","151","1","3"
"20","297","83","153","1","3"
"21","294","85","151","1","3"
"20","295","85","162","1","3"
"20","298","82","164","1","3"
"20","300","80","167","1","3"
"20","301","79","171","1","3"
"21","301","78","166","1","3"
"22","302","76","162","1","3"
"20","302","78","182","1","3"
"21","301","78","177","1","3"
"21","303","76","180","1","3"
"20","300","80","194","1","3"
"20","301","79","198","1","3"
"20","301","79","202","1","3"
"21","306","73","194","1","3"
"20","304","76","208","1","4"
"21","306","73","201","1","3"
"21","307","72","205","1","4"
"20","304","76","220","1","4"
"21","305","74","213","1","4"
"20","305","75","228","1","4"
"22","308","70","209","1","4"
"21","313","66","220","1","4"
"22","315","63","213","1","4"
"20","312","68","240","1","4"
"20","311","69","245","1","4"
"20","312","68","248","1","4"
"21","317","62","238","1","4"
"20","317","63","254","1","4"
"21","316","63","245","1","4"
"20","316","64","262","1","5"
"21","316","63","253","1","4"
"21","318","61","256","1","4"
"20","315","65","274","1","5"
"20","319","61","276","1","5"
"21","322","57","265","1","5"
"22","325","53","255","1","5"
"20","326","54","284","1","5"
"21","324","55","275","1","5"
"21","326","53","278","1","5"
"20","330","50","294","1","5"
"20","332","48","297","1","5"
"20","332","48","301","1","5"
"20","332","48","305","1","5"
"21","329","50","295","1","5"
"22","334","44","283","1","5"
"21","335","44","300","1","5"
"21","335","44","304","1","5"
"20","337","43","322","1","6"
"21","336","43","311","1","6"
